Date;MRVE3.SA;TRPL4.SA;PETR4.SA;VIIA3.SA;MGLU3.SA;BBDC4.SA
2013-05-08;R$8.17;R$0.23;R$4.59;R$6.75;R$4.15;R$5.38
2013-05-09;R$8.16;R$0.23;R$4.49;R$6.75;R$4.16;R$5.38
2013-05-10;R$8.12;R$0.23;R$4.35;R$6.64;R$4.14;R$5.38
2013-05-13;R$7.93;R$0.22;R$4.37;R$6.48;R$4.15;R$5.85
2013-05-14;R$8.04;R$0.23;R$4.03;R$6.50;R$4.16;R$6.31
2013-05-15;R$8.10;R$0.23;R$3.62;R$6.51;R$4.18;R$6.31
2013-05-16;R$8.11;R$0.22;R$3.93;R$6.57;R$4.25;R$6.31
2013-05-17;R$8.26;R$0.23;R$3.90;R$6.61;R$4.29;R$6.31
2013-05-20;R$8.42;R$0.25;R$3.92;R$6.72;R$4.29;R$6.31
2013-05-21;R$8.47;R$0.26;R$4.06;R$6.73;R$4.34;R$6.31
2013-05-22;R$8.50;R$0.25;R$4.06;R$6.62;R$4.49;R$6.31
2013-05-23;R$8.38;R$0.24;R$4.16;R$6.60;R$4.52;R$6.20
2013-05-24;R$8.32;R$0.25;R$4.39;R$6.68;R$4.63;R$6.20
2013-05-27;R$8.29;R$0.25;R$4.28;R$6.63;R$4.58;R$6.20
2013-05-28;R$8.34;R$0.25;R$4.06;R$6.66;R$4.61;R$6.20
2013-05-29;R$8.16;R$0.25;R$3.98;R$6.60;R$4.50;R$6.20
2013-05-31;R$8.32;R$0.23;R$3.72;R$6.67;R$4.44;R$6.20
2013-06-03;R$8.08;R$0.23;R$3.85;R$6.75;R$4.54;R$6.20
2013-06-04;R$7.98;R$0.23;R$3.78;R$6.67;R$4.54;R$6.20
2013-06-05;R$7.75;R$0.23;R$3.65;R$6.46;R$4.53;R$5.85
2013-06-06;R$7.76;R$0.24;R$3.67;R$6.47;R$4.54;R$5.85
2013-06-07;R$7.57;R$0.23;R$3.45;R$6.26;R$4.41;R$5.85
2013-06-10;R$7.73;R$0.23;R$3.49;R$6.28;R$4.37;R$5.87
2013-06-11;R$7.43;R$0.23;R$3.52;R$6.16;R$4.27;R$5.87
2013-06-12;R$7.41;R$0.22;R$3.56;R$6.03;R$4.28;R$5.87
2013-06-13;R$7.31;R$0.22;R$3.99;R$6.25;R$4.33;R$5.87
2013-06-14;R$7.19;R$0.21;R$3.92;R$6.10;R$4.21;R$5.87
2013-06-17;R$7.22;R$0.20;R$3.93;R$6.02;R$4.28;R$5.87
2013-06-18;R$7.17;R$0.20;R$3.82;R$5.93;R$4.32;R$5.87
2013-06-19;R$7.01;R$0.20;R$3.67;R$5.72;R$4.06;R$5.87
2013-06-20;R$7.03;R$0.19;R$3.74;R$5.62;R$4.10;R$5.87
2013-06-21;R$6.89;R$0.18;R$3.62;R$5.46;R$3.87;R$5.87
2013-06-24;R$6.76;R$0.17;R$3.71;R$5.29;R$3.80;R$5.87
2013-06-25;R$6.81;R$0.16;R$3.78;R$5.35;R$3.95;R$5.87
2013-06-26;R$6.85;R$0.16;R$3.85;R$5.37;R$3.94;R$5.87
2013-06-27;R$6.87;R$0.16;R$3.92;R$5.45;R$3.99;R$5.87
2013-06-28;R$7.02;R$0.15;R$3.67;R$5.38;R$4.03;R$5.40
2013-07-01;R$7.04;R$0.15;R$3.72;R$5.36;R$4.17;R$5.38
